Timestamp,PPG,Pressure,Systolic
1762819498.879138,2354.0,86.05,97.04
1762819498.979245,2283.0,85.25,97.04
1762819499.029002,2208.0,84.56,97.04
1762819499.129629,2164.0,85.18,97.04
1762819499.178977,2293.0,84.55,97.04
1762819499.2789838,2615.0,83.75,97.04
1762819499.32939,2827.0,83.04,97.04
1762819499.378767,2803.0,82.48,97.04
1762819499.4789371,2629.0,81.65,97.04
1762819499.528946,2559.0,80.92,97.04
1762819499.628974,2501.0,80.15,97.04
1762819499.678955,2354.0,79.59,97.04
1762819499.728895,2234.0,78.92,97.04
1762819499.828952,2174.0,79.24,97.04
1762819499.87891,2267.0,78.94,97.04
1762819499.9791481,2703.0,78.16,97.04
1762819500.029123,2974.0,77.54,97.04
1762819500.1294389,2987.0,77.23,97.04
1762819500.179487,2635.0,76.72,97.04
1762819500.228961,2477.0,76.05,97.04
1762819500.3289652,2403.0,75.41,97.04
1762819500.378839,2276.0,74.97,97.04
1762819500.4794428,2130.0,74.43,97.04
1762819500.528626,2065.0,74.22,97.04
1762819500.6289139,2071.0,74.8,97.04
1762819500.679418,2417.0,74.17,97.04
1762819500.728867,2741.0,73.56,97.04
1762819500.829451,2826.0,73.3,97.04
1762819500.878699,2500.0,72.96,97.04
1762819500.979053,2278.0,72.47,97.04
1762819501.028787,2251.0,71.94,97.04
1762819501.079066,2178.0,71.62,97.04
1762819501.1795342,1993.0,71.23,97.04
1762819501.228853,1880.0,70.8,97.04
1762819501.328845,1881.0,71.19,97.04
1762819501.379479,2059.0,70.91,97.04
1762819501.479306,2392.0,70.42,97.04
1762819501.5285408,2496.0,69.96,97.04
1762819501.57899,2332.0,69.92,97.04
1762819501.679414,2068.0,69.54,97.04
1762819501.729277,2066.0,69.1,97.04
1762819501.829334,2086.0,68.72,97.04
1762819501.8788311,1989.0,68.4,97.04
1762819501.928677,1871.0,68.11,97.04
1762819502.028838,1843.0,68.48,97.04
1762819502.078922,1930.0,68.74,97.04
1762819502.179371,2218.0,68.26,97.04
1762819502.22879,2320.0,67.93,97.04
1762819502.3293939,2215.0,67.91,97.04
1762819502.378796,1967.0,67.89,97.04
1762819502.429605,1953.0,67.53,97.04
1762819502.528776,1977.0,67.15,97.04
1762819502.578742,1888.0,66.86,97.04
1762819502.679405,1766.0,66.57,97.04
1762819502.7288692,1724.0,66.4,97.04
1762819502.829281,1736.0,67.02,97.04
1762819502.8792279,1954.0,66.71,97.04
1762819502.928194,2152.0,66.28,97.04
1762819503.029053,2170.0,66.06,97.04
1762819503.078888,1958.0,66.0,97.04
1762819503.1793458,1856.0,65.65,97.04
1762819503.229246,1906.0,65.29,97.04
1762819503.2794392,1905.0,64.94,97.04
1762819503.379232,1797.0,64.9,97.04
1762819503.428778,1731.0,65.05,97.04
1762819503.528803,1751.0,65.64,97.04
1762819503.578642,1999.0,65.29,97.04
1762819503.67888,2134.0,64.84,97.04
1762819503.729294,2091.0,65.2,97.04
1762819503.779377,1872.0,65.41,97.04
1762819503.879245,1859.0,65.2,97.04
1762819503.928666,1943.0,64.88,97.04
1762819504.027781,1939.0,64.66,97.04
1762819504.078644,1809.0,64.42,97.04
1762819504.179163,1755.0,65.24,97.04
1762819504.229326,1988.0,64.99,97.04
1762819504.278739,2231.0,64.4,97.04
1762819504.378656,2238.0,64.0,97.04
1762819504.4292638,2001.0,63.98,97.04
1762819504.528671,1864.0,63.52,97.04
1762819504.5787861,1933.0,62.89,97.04
1762819504.628659,1938.0,62.47,97.04
1762819504.728686,1834.0,62.06,97.04
1762819504.778674,1749.0,62.52,97.04
1762819504.879147,1948.0,62.19,97.04
1762819504.9283788,2253.0,61.45,97.04
1762819505.028896,2308.0,61.02,97.04
1762819505.0787961,2114.0,60.64,97.04
1762819505.128455,1921.0,60.12,97.04
1762819505.22913,1969.0,59.22,97.04
1762819505.279212,1975.0,58.56,97.04
1762819505.3792791,1865.0,57.94,97.04
1762819505.428687,1772.0,57.85,97.04
1762819505.4791198,1836.0,57.64,97.04
1762819505.579256,2182.0,56.94,97.04
1762819505.62867,2318.0,56.25,97.04
1762819505.729134,2242.0,55.85,97.04
1762819505.7790349,1956.0,55.48,97.04
1762819505.878573,1937.0,54.89,97.04
1762819505.928768,1972.0,54.26,97.04
1762819505.978552,1916.0,53.77,97.04
1762819506.07878,1802.0,53.42,97.04
1762819506.129086,1774.0,53.37,97.04
1762819506.229147,1925.0,53.0,97.04
1762819506.278445,2215.0,52.2,97.04
1762819506.3783941,2275.0,51.79,97.04
1762819506.4290402,2128.0,51.5,97.04
1762819506.4791412,1914.0,50.82,97.04
1762819506.578611,1941.0,50.24,97.04
1762819506.6285539,1947.0,49.56,97.04
1762819506.7291641,1827.0,49.06,97.04
1762819506.779029,1724.0,48.63,97.04
1762819506.8292181,1735.0,48.53,97.04
1762819506.92912,1883.0,48.45,97.04
1762819506.978463,2176.0,47.83,97.04
1762819507.078717,2240.0,47.45,97.04
1762819507.129177,2091.0,47.27,97.04
1762819507.228054,1877.0,46.97,97.04
1762819507.2786171,1910.0,46.56,97.04
1762819507.328712,1953.0,46.23,97.04
1762819507.4285161,1857.0,45.95,97.04
1762819507.47853,1741.0,45.74,97.04
1762819507.579183,1745.0,46.02,97.04
1762819507.628536,1985.0,45.69,97.04
1762819507.729026,2221.0,45.31,97.04
1762819507.7785769,2196.0,45.18,97.04
1762819507.829037,1957.0,45.18,97.04
1762819507.9283478,1860.0,44.59,97.04
1762819507.978528,1960.0,44.09,97.04
1762819508.078238,1979.0,43.68,97.04
1762819508.128335,1837.0,43.31,97.04
1762819508.178984,1754.0,43.37,97.04
1762819508.279021,1894.0,43.06,97.04
1762819508.3291311,2253.0,42.56,97.04
1762819508.428443,2350.0,42.07,97.04
1762819508.479027,2192.0,41.87,97.04
1762819508.579086,1930.0,41.45,97.04
1762819508.628948,1948.0,40.95,97.04
1762819508.678902,1967.0,40.59,97.04
1762819508.778481,1863.0,40.19,97.04
1762819508.82833,1753.0,39.78,97.04
1762819508.928285,1780.0,39.84,97.04
1762819508.978385,2089.0,39.32,97.04
1762819509.078609,2378.0,38.7,97.04
1762819509.12885,2400.0,38.39,97.04
1762819509.179146,2147.0,37.98,97.04
1762819509.279029,1966.0,37.44,97.04
1762819509.328463,1986.0,36.95,97.04
1762819509.4284391,1938.0,36.33,97.04
1762819509.478931,1816.0,35.75,97.04
1762819509.5284429,1754.0,35.27,97.04
1762819509.628439,1826.0,34.92,97.04
1762819509.678229,2216.0,34.19,97.04
1762819509.7789161,2417.0,33.63,97.04
1762819509.828657,2391.0,33.11,97.04
1762819509.928585,2076.0,32.47,97.04
1762819509.9783292,2000.0,31.76,97.04
1762819510.028746,1998.0,30.95,97.04
1762819510.1288981,1915.0,30.31,97.04
1762819510.1784902,1785.0,29.52,97.04
1762819510.278471,1760.0,28.83,97.04
1762819510.328404,1781.0,28.37,97.04
1762819510.378988,2059.0,27.57,97.04
1762819510.478435,2373.0,27.01,97.04
1762819510.528848,2421.0,26.28,97.04
1762819510.6289852,2171.0,25.63,97.04
1762819510.678423,1968.0,24.93,97.04
1762819510.778924,1996.0,24.16,97.04
1762819510.829013,1955.0,23.47,97.04
1762819510.878439,1814.0,22.5,97.04
1762819510.978285,1744.0,21.6,97.04
1762819511.028609,1758.0,20.85,97.04
1762819511.128393,1842.0,20.09,97.04
1762819511.1784,2211.0,19.29,97.04
1762819511.2788339,2358.0,18.65,97.04
1762819511.328361,2291.0,17.88,97.04
1762819511.378932,1988.0,17.21,97.04
1762819511.47896,1961.0,16.43,97.04
1762819511.52818,1975.0,15.69,97.04
1762819511.628812,1868.0,15.11,97.04
